"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1","4.0976123461511266E-1","-2.6988484146598425E-23","-2.9417515655701884E-26","-1.9237533891084223E-13","1.4666820372526499E+0","2.0898742783096624E-25","2.7415144739107200E+0","7.4458490878530990E+0","3.3004871323221970E+1","1.1380834085181399E+2","1.215058560962404E-2"
"2","4.0994529574940025E-1","3.6897209696374770E-23","-6.7119249995721791E-25","9.0245706136828292E-13","1.4659809812198881E+0","-1.8141775989784380E-24","2.7416927266972002E+0","7.4457777748252347E+0","3.3004555217257348E+1","1.1372511745687100E+2","1.215058560962404E-2"
"3","4.1012940004381437E-1","-9.9582414860364254E-23","-6.4179983488855207E-25","-9.6303828359296679E-13","1.4652800921681222E+0","-1.7856030170463359E-24","2.7418709239065699E+0","7.4457059078472101E+0","3.3004236655823441E+1","1.1364194014360800E+2","1.215058560962404E-2"
"4","4.1031354746090021E-1","1.6974761164184659E-22","-5.8617843583703580E-26","-7.5815286334143957E-13","1.4645793701343948E+0","2.5258154672084283E-25","2.7420490654988998E+0","7.4456334860131124E+0","3.3003915634904644E+1","1.1355878879017899E+2","1.215058560962404E-2"
"5","4.1049773796319261E-1","-2.7366989771863190E-24","-4.1989600544819774E-25","-5.3041290268796633E-13","1.4638788151558542E+0","-8.5105503275229574E-25","2.7422271514337502E+0","7.4455605084155918E+0","3.3003592150479001E+1","1.1347568454813501E+2","1.215058560962404E-2"
"6","4.1068197151317998E-1","5.2378199353762121E-23","-4.2631933589494945E-25","4.1738847039083283E-13","1.4631784272696264E+0","-1.8151050394024354E-24","2.7424051816708399E+0","7.4454869741462737E+0","3.3003266198519988E+1","1.1339260958983400E+2","1.215058560962404E-2"
"7","4.1086624807332583E-1","-5.5039391220502174E-28","-1.4675312286046996E-37","-5.3499335811148661E-13","1.4624782065129645E+0","-1.1718209309759679E-36","2.7425831561694300E+0","7.4454128822946375E+0","3.3002937774991587E+1","1.1330954214671800E+2","1.215058560962404E-2"
"8","4.1105056760593262E-1","-4.7580346776766036E-23","2.6146270001992681E-26","-1.8022311745734304E-12","1.4617781529230300E+0","7.4620129743377453E-26","2.7427610748903200E+0","7.4453382319501840E+0","3.3002606875857872E+1","1.1322658279416800E+2","1.215058560962404E-2"
"9","4.1123493007340789E-1","1.4589975632600257E-23","4.8999721786283429E-26","-6.3102607651861923E-13","1.4610782665369759E+0","8.0037297986322846E-25","2.7429389377929501E+0","7.4452630221993630E+0","3.3002273497069403E+1","1.1314361992095000E+2","1.215058560962404E-2"
"10","4.1141933543804388E-1","-2.2099701259700292E-22","1.5674227204714456E-25","-4.6975191839429142E-13","1.4603785473921029E+0","3.7968344881118791E-25","2.7431167448371001E+0","7.4451872521283633E+0","3.3001937634575548E+1","1.1306069383296200E+2","1.215058560962404E-2"
"11","4.1160378366208705E-1","-2.3118817805589231E-23","-2.9261115747891306E-25","-8.2040677467805811E-13","1.4596789955256340E+0","-2.7966187287869223E-25","2.7432944959829300E+0","7.4451109208218842E+0","3.3001599284319106E+1","1.1297781399863500E+2","1.215058560962404E-2"
"12","4.1178827470774049E-1","1.3255276875030700E-22","-5.9019663801825457E-25","-8.2263084319818792E-13","1.4589796109748416E+0","-1.4544648009842491E-24","2.7434721911905400E+0","7.4450340273628859E+0","3.3001258442235162E+1","1.1289496892531400E+2","1.215058560962404E-2"
"13","4.1197280853716706E-1","-6.6920638432747520E-23","6.2118537140230916E-26","-1.6358856066175682E-12","1.4582803937770419E+0","-3.9852608467457876E-25","2.7436498304199599E+0","7.4449565708332246E+0","3.3000915104253899E+1","1.1281215523946101E+2","1.215058560962404E-2"
"14","4.1215738511247046E-1","-2.9254346938136673E-23","-5.4325648644316234E-25","-1.2595405266999781E-12","1.4575813439694836E+0","-4.3171462978188353E-25","2.7438274136316498E+0","7.4448785503134696E+0","3.3000569266299799E+1","1.1272938706385600E+2","1.215058560962404E-2"
"15","4.1234200439572077E-1","-1.4816540333396651E-22","3.1925205076155050E-25","-2.6026002709303075E-13","1.4568824615895350E+0","2.4148216293507783E-25","2.7440049407857399E+0","7.4447999648825247E+0","3.3000220924289962E+1","1.1264665459949600E+2","1.215058560962404E-2"
"16","4.1252666634894908E-1","1.1979189194067301E-22","-3.2008616130655546E-25","-5.5798092990046225E-13","1.4561837466746013E+0","1.0095120835365929E-25","2.7441824118422899E+0","7.4447208136179732E+0","3.2999870074135629E+1","1.1256395293011400E+2","1.215058560962404E-2"
"17","4.1271137093411503E-1","-8.8165724894060272E-23","2.0058256001639475E-26","-1.1221158108469594E-13","1.4554851992619873E+0","-2.5802995687693757E-25","2.7443598267620302E+0","7.4446410955963129E+0","3.2999516711743240E+1","1.1248130104223300E+2","1.215058560962404E-2"
"18","4.1289611811316684E-1","2.2686746758924237E-22","-7.5412129789222369E-25","8.6482300462940421E-13","1.4547868193890807E+0","-3.0756046711293566E-24","2.7445371855052199E+0","7.4445608098925025E+0","3.2999160833012411E+1","1.1239868135009201E+2","1.215058560962404E-2"
"19","4.1308090784798812E-1","-2.1514507664380723E-22","1.8050814565511486E-25","-1.2005901029460697E-12","1.4540886070934036E+0","4.6412544402941240E-25","2.7447144880320402E+0","7.4444799555799355E+0","3.2998802433835806E+1","1.1231609557576100E+2","1.215058560962404E-2"
"20","4.1326574010038741E-1","-1.9026069662815171E-23","-1.0255146474882758E-25","-2.9185382276237315E-13","1.4533905624122703E+0","-4.2813797045250142E-25","2.7448917343036698E+0","7.4443985317306325E+0","3.2998441510100022E+1","1.1223355743972100E+2","1.215058560962404E-2"
"21","4.1345061483218126E-1","-1.0008173851073025E-22","3.1803721497030879E-25","-4.6496292228549791E-13","1.4526926853832025E+0","6.8172951209088828E-25","2.7450689242802802E+0","7.4443165374155784E+0","3.2998078057687053E+1","1.1215104997912201E+2","1.215058560962404E-2"
"22","4.1363553200510378E-1","1.7951242268542339E-22","4.6371891353674030E-25","-9.7163185000691676E-13","1.4519949760437099E+0","1.8300746719403433E-24","2.7452460579225701E+0","7.4442339717039623E+0","3.2997712072470932E+1","1.1206857762469400E+2","1.215058560962404E-2"
"23","4.1382049158084927E-1","-1.3901363852024347E-22","1.0351568653408394E-25","-3.8193724293534141E-13","1.4512974344312275E+0","7.7930770880304023E-25","2.7454231351914902E+0","7.4441508336638531E+0","3.2997343550320736E+1","1.1198615024894700E+2","1.215058560962404E-2"
"24","4.1400549352110144E-1","1.5493266473002174E-27","2.6540458389659460E-38","-2.6124313880193038E-13","1.4506000605833460E+0","-1.3944301736629386E-36","2.7456001560473200E+0","7.4440671223614343E+0","3.2996972487097182E+1","1.1190371957727200E+2","1.215058560962404E-2"
"25","4.1419053778738446E-1","7.0110709532307880E-23","-1.0769234504082994E-25","-4.1695195678152067E-14","1.4499028545375772E+0","-2.5982852844447988E-25","2.7457771204518200E+0","7.4439828368628236E+0","3.2996598878660699E+1","1.1182140616667600E+2","1.215058560962404E-2"
"26","4.1437562434133962E-1","-1.7823316982147518E-22","1.5959356703342114E-25","-3.2975433040314781E-13","1.4492058163315407E+0","-2.7429112371704490E-26","2.7459540283649502E+0","7.4438979762308133E+0","3.2996222720856949E+1","1.1173908762686800E+2","1.215058560962404E-2"
"27","4.1456075314447582E-1","-4.2003459975111958E-28","1.2704005963830616E-37","-4.5347954632675742E-13","1.4485089460027909E+0","-1.0871486035183000E-36","2.7461308797478101E+0","7.4438125395279133E+0","3.2995844009530380E+1","1.1165677689629800E+2","1.215058560962404E-2"
"28","4.1474592415818146E-1","-1.6146002043023437E-22","4.2507389126299041E-25","-1.5853171349954507E-12","1.4478122435890080E+0","1.0626456459111159E-24","2.7463076745620301E+0","7.4437265258156842E+0","3.2995462740521212E+1","1.1157457126915899E+2","1.215058560962404E-2"
"29","4.1493113734394099E-1","-2.1658599455694899E-22","-3.0399638385090468E-25","-8.1618387773846248E-14","1.4471157091277216E+0","-1.4607819037797267E-25","2.7464844127683699E+0","7.4436399341531834E+0","3.2995078909658567E+1","1.1149237065077899E+2","1.215058560962404E-2"
"30","4.1511639266312228E-1","-4.9362129111238649E-23","-4.4257867993866091E-25","-6.6608524494641904E-13","1.4464193426567384E+0","-1.2362073661965577E-24","2.7466610943276000E+0","7.4435527635985217E+0","3.2994692512767379E+1","1.1141020887726600E+2","1.215058560962404E-2"
"31","4.1530169007703460E-1","-2.6777898320678690E-23","-8.7202548787390936E-26","-2.5745918067294361E-14","1.4457231442136538E+0","-8.1839024333040210E-25","2.7468377192013800E+0","7.4434650132085789E+0","3.2994303545667130E+1","1.1132808558622300E+2","1.215058560962404E-2"
"32","4.1548702954696476E-1","-7.1547919395508144E-23","1.1213213910679462E-25","2.8437238750021618E-13","1.4450271138362385E+0","5.2896730475557368E-25","2.7470142873507299E+0","7.4433766820385863E+0","3.2993912004169971E+1","1.1124599978187101E+2","1.215058560962404E-2"
"33","4.1567241103415348E-1","-7.3601804258783141E-23","-2.6791823072738302E-25","-1.3389194533303352E-12","1.4443312515622651E+0","-4.2340140363630057E-25","2.7471907987368001E+0","7.4432877691424792E+0","3.2993517884082344E+1","1.1116395395131100E+2","1.215058560962404E-2"
"34","4.1585783449976210E-1","-2.2108898382187907E-23","1.0968331482508975E-25","-5.5154374495367505E-13","1.4436355574294162E+0","1.2934493304173533E-25","2.7473672533214502E+0","7.4431982735726567E+0","3.2993121181203847E+1","1.1108194544166700E+2","1.215058560962404E-2"
"35","4.1604329990495176E-1","3.2935669624590077E-23","-9.4535125325733062E-26","-9.9286042474892596E-13","1.4429400314755374E+0","3.1806089327989888E-25","2.7475436510657398E+0","7.4431081943803292E+0","3.2992721891328834E+1","1.1099997924277800E+2","1.215058560962404E-2"
"36","4.1622880721079664E-1","-1.4266223377690307E-22","3.5002016511491215E-26","6.7782330792608272E-14","1.4422446737384271E+0","2.3322191689540846E-25","2.7477199919314002E+0","7.4430175306149682E+0","3.2992320010243937E+1","1.1091804738388200E+2","1.215058560962404E-2"
"37","4.1641435637836294E-1","4.0312540808349471E-23","2.8292313999445154E-25","-7.7081464281988193E-13","1.4415494842559684E+0","1.4179394943295915E-24","2.7478962758796501E+0","7.4429262813248229E+0","3.2991915533730371E+1","1.1083615541539800E+2","1.215058560962404E-2"
"38","4.1659994736863148E-1","4.7665484179597500E-23","2.2336497061866147E-25","-9.6242797728557800E-13","1.4408544630660047E+0","2.9883983664174623E-25","2.7480725028723700E+0","7.4428344455567004E+0","3.2991508457562965E+1","1.1075429785959800E+2","1.215058560962404E-2"
"39","4.1678558014256045E-1","7.0100812635166294E-23","1.3629267206414932E-25","-1.0414066836483961E-12","1.4401596102064160E+0","5.3503700545521610E-25","2.7482486728711901E+0","7.4427420223558975E+0","3.2991098777509855E+1","1.1067248665891100E+2","1.215058560962404E-2"
"40","4.1697125466104579E-1","-1.5680197077181153E-23","2.8572418698699658E-25","-2.0386963013941063E-13","1.4394649257151451E+0","1.0309194283068158E-24","2.7484247858378801E+0","7.4426490107663081E+0","3.2990686489332944E+1","1.1059071079003201E+2","1.215058560962404E-2"
"41","4.1715697088495768E-1","-5.8996197484475151E-23","3.4739714920864457E-25","-2.7093097679935502E-14","1.4387704096301326E+0","1.1191803154413232E-24","2.7486008417341101E+0","7.4425554098304749E+0","3.2990271588788161E+1","1.1050897443667000E+2","1.215058560962404E-2"
"42","4.1734272877510209E-1","-4.9937663522943733E-23","2.0141670853833080E-25","-3.9366927257470166E-13","1.4380760619893851E+0","9.0018483844333314E-25","2.7487768405217001E+0","7.4424612185893348E+0","3.2989854071624322E+1","1.1042727599704700E+2","1.215058560962404E-2"
"43","4.1752852829224030E-1","-5.1958838745090290E-23","3.3134098285367907E-26","-8.4612394803334093E-13","1.4373818828308842E+0","8.8201115898683389E-25","2.7489527821626401E+0","7.4423664360824695E+0","3.2989433933584202E+1","1.1034561653367901E+2","1.215058560962404E-2"
"44","4.1771436939708362E-1","3.1032601240670995E-22","4.3943377905088544E-25","-4.5501727809662843E-13","1.4366878721926342E+0","1.3762230902214640E-24","2.7491286666189998E+0","7.4422710613481708E+0","3.2989011170404893E+1","1.1026399818319599E+2","1.215058560962404E-2"
"45","4.1790025205030468E-1","9.2682509526992040E-23","-5.2841064629039964E-25","-1.5709392483186318E-12","1.4359940301127812E+0","-1.5506356607414678E-24","2.7493044938525300E+0","7.4421750934228834E+0","3.2988585777815295E+1","1.1018241785306800E+2","1.215058560962404E-2"
"46","4.1808617621252564E-1","2.9615491463712612E-23","8.2618265552819336E-26","-1.2380979388481329E-12","1.4353003566292812E+0","-1.6814636509368677E-25","2.7494802638256801E+0","7.4420785313421618E+0","3.2988157751540342E+1","1.1010087890062900E+2","1.215058560962404E-2"
"47","4.1827214184435441E-1","-1.0309400378113266E-28","-2.5208843695368588E-38","-8.4410582379100176E-13","1.4346068517802750E+0","6.5790949447584904E-37","2.7496559765001898E+0","7.4419813741397292E+0","3.2987727087296875E+1","1.1001934615911300E+2","1.215058560962404E-2"
"48","4.1845814890622030E-1","1.5817191939642856E-22","-5.1869495155559683E-26","-5.2618745438800609E-13","1.4339135156039939E+0","3.0329151479685897E-25","2.7498316318389602E+0","7.4418836208480421E+0","3.2987293780796094E+1","1.0993791342462200E+2","1.215058560962404E-2"
"49","4.1864419735870068E-1","8.5619311350838682E-24","3.4116233928116769E-26","-1.3035069921923162E-12","1.4332203481385712E+0","1.3019430252505961E-25","2.7500072298034199E+0","7.4417852704976619E+0","3.2986857827740835E+1","1.0985648686312599E+2","1.215058560962404E-2"
"50","4.1883028716217929E-1","8.6349737428320354E-25","6.7660859003569149E-25","-1.5231082123127701E-12","1.4325273494222073E+0","1.8840886914852774E-24","2.7501827703563499E+0","7.4416863221180876E+0","3.2986419223829181E+1","1.0977510677750401E+2","1.215058560962404E-2"
"51","4.1901641827706626E-1","-1.3850781823396145E-22","-4.6329923734441741E-25","-1.0021292910420759E-12","1.4318345194930349E+0","-7.9546524756396415E-25","2.7503582534601700E+0","7.4415867747377495E+0","3.2985977964754511E+1","1.0969376178787900E+2","1.215058560962404E-2"
"52","4.1920259066368232E-1","1.8987486532837597E-22","-3.4699951026508028E-25","-1.3897522205312315E-12","1.4311418583894435E+0","-5.2321302749369328E-25","2.7505336790770998E+0","7.4414866273826830E+0","3.2985534046199575E+1","1.0961245618854500E+2","1.215058560962404E-2"
"53","4.1938880428231368E-1","-7.6098840933277825E-23","1.8122988412213646E-25","-6.9900711912113027E-13","1.4304493661496480E+0","-2.3075107060386568E-25","2.7507090471699001E+0","7.4413858790780747E+0","3.2985087463843371E+1","1.0953119217752800E+2","1.215058560962404E-2"
"54","4.1957505909321369E-1","-1.0555411870964461E-22","-3.2743396469240921E-26","-3.9994802006159522E-13","1.4297570428119761E+0","3.7143747349110927E-25","2.7508843577009801E+0","7.4412845288476088E+0","3.2984638213358217E+1","1.0944996160040699E+2","1.215058560962404E-2"
